20220102 184100;1.137280;1.137280;1.137220;1.137260;0
20220102 184200;1.137260;1.137280;1.137230;1.137230;0
20220102 184300;1.137220;1.137280;1.137200;1.137270;0
20220102 184400;1.137280;1.137280;1.137270;1.137270;0
20220102 184500;1.137280;1.137280;1.137160;1.137170;0
20220102 184600;1.137180;1.137180;1.137140;1.137160;0
20220102 184700;1.137160;1.137160;1.137090;1.137090;0
20220102 184800;1.137130;1.137130;1.137090;1.137100;0
20220102 184900;1.137120;1.137150;1.136950;1.136950;0
20220102 185000;1.136960;1.137020;1.136920;1.137020;0
20220102 185100;1.137030;1.137080;1.137030;1.137080;0
20220102 185200;1.137080;1.137090;1.137060;1.137080;0
20220102 185300;1.137080;1.137120;1.137060;1.137090;0
20220102 185400;1.137070;1.137090;1.137070;1.137090;0
20220102 185500;1.137090;1.137110;1.136990;1.136990;0
20220102 185600;1.137010;1.137260;1.137010;1.137250;0
20220102 185700;1.137260;1.137270;1.137260;1.137270;0
20220102 185800;1.137270;1.137270;1.137260;1.137270;0
20220102 190000;1.137260;1.137310;1.137260;1.137300;0
20220102 190100;1.137310;1.137330;1.137240;1.137250;0
20220102 190200;1.137250;1.137290;1.137230;1.137290;0
20220102 190300;1.137290;1.137290;1.137250;1.137260;0
20220102 190400;1.137250;1.137310;1.137250;1.137270;0
20220102 190500;1.137250;1.137250;1.137240;1.137250;0
20220102 190600;1.137250;1.137340;1.137250;1.137340;0
20220102 190700;1.137360;1.137550;1.137360;1.137490;0
20220102 190800;1.137460;1.137490;1.137430;1.137490;0
20220102 190900;1.137480;1.137500;1.137470;1.137480;0
20220102 191000;1.137470;1.137470;1.137450;1.137450;0
20220102 191100;1.137460;1.137510;1.137460;1.137510;0
20220102 191200;1.137510;1.137510;1.137190;1.137200;0
20220102 191300;1.137190;1.137190;1.137090;1.137110;0
20220102 191400;1.137100;1.137110;1.137050;1.137070;0
20220102 191500;1.137070;1.137070;1.137050;1.137070;0
20220102 191600;1.137090;1.137090;1.137030;1.137040;0
20220102 191700;1.137060;1.137080;1.137030;1.137040;0
20220102 191800;1.137050;1.137050;1.136890;1.136900;0
20220102 191900;1.136900;1.136900;1.136880;1.136890;0
20220102 192000;1.136870;1.136870;1.136770;1.136790;0
20220102 192100;1.136780;1.136980;1.136780;1.136930;0
20220102 192200;1.136940;1.136940;1.136930;1.136930;0
20220102 192300;1.136910;1.136910;1.136770;1.136820;0
20220102 192400;1.136810;1.136830;1.136740;1.136750;0
20220102 192500;1.136760;1.136840;1.136760;1.136800;0
20220102 192600;1.136810;1.136810;1.136680;1.136750;0
20220102 192700;1.136780;1.136880;1.136780;1.136880;0
20220102 192800;1.136870;1.136870;1.136780;1.136790;0
20220102 192900;1.136810;1.136830;1.136640;1.136640;0
20220102 193000;1.136630;1.136650;1.136530;1.136550;0
20220102 193100;1.136550;1.136680;1.136550;1.136680;0
20220102 193200;1.136680;1.136680;1.136490;1.136500;0
20220102 193300;1.136500;1.136500;1.136370;1.136380;0
20220102 193400;1.136360;1.136360;1.136140;1.136180;0
20220102 193500;1.136170;1.136190;1.136080;1.136100;0
20220102 193600;1.136100;1.136130;1.136080;1.136130;0
20220102 193700;1.136140;1.136220;1.136130;1.136220;0
20220102 193800;1.136230;1.136290;1.136210;1.136220;0
20220102 193900;1.136190;1.136230;1.136170;1.136180;0
20220102 194000;1.136160;1.136240;1.136090;1.136240;0
20220102 194100;1.136250;1.136250;1.136200;1.136200;0
20220102 194200;1.136190;1.136220;1.136190;1.136190;0
20220102 194300;1.136190;1.136270;1.136190;1.136270;0
20220102 194400;1.136310;1.136310;1.136250;1.136250;0
20220102 194500;1.136250;1.136260;1.136150;1.136150;0
20220102 194600;1.136160;1.136160;1.136090;1.136160;0
